"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-01","1.55","21.9","8.7","17.1","0.2"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-02","0.56","10.3","10.6","19.5","1.8"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-03","1.02","12.6","19.7","29.1","10.3"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-04","0.41","1.5","41.4","52.1","30.7"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-05","0.82","0.0","54.9","67.1","42.7"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-06","2.35","0.0","59.5","70.9","48.1"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-07","3.94","0.0","67.5","79.5","55.6"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-08","5.36","0.0","63.6","72.4","54.8"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-09","6.61","0.0","52.9","61.6","44.2"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-10","1.64","1.3","38.9","46.7","31.1"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-11","0.70","1.6","30.0","36.8","23.3"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1980-12","0.63","7.2","11.6","19.7","3.5"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-01","0.33","4.7","11.8","21.4","2.3"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-02","1.50","13.3","16.4","23.6","9.0"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-03","1.06","4.3","28.2","37.5","19.0"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-04","4.48","4.3","39.1","48.3","30.0"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-05","1.15","0.0","50.1","61.6","38.7"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-06","5.83","0.0","58.7","68.2","49.2"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-07","3.26","0.0","65.5","75.7","55.3"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-08","2.85","0.0","64.3","72.8","55.8"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-09","2.42","0.0","52.9","62.1","43.7"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-10","3.59","1.4","40.4","47.7","33.2"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-11","0.97","12.5","34.6","41.6","27.7"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1981-12","0.97","15.6","14.8","21.5","8.0"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-01","2.03","34.3","-3.2","7.4","-13.9"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-02","0.48","8.1","10.6","19.6","1.5"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-03","2.06","17.9","20.8","29.2","12.4"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-04","2.06","6.3","35.7","45.5","25.9"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-05","4.31","0.0","52.8","62.5","43.1"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-06","1.97","0.0","54.8","66.3","43.3"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-07","6.21","0.0","64.5","74.0","55.0"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-08","1.61","0.0","60.8","70.6","50.9"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-09","4.20","0.0","54.3","62.8","45.8"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-10","5.08","0.8","45.0","51.8","38.3"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-11","3.08","16.0","24.4","31.3","17.5"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1982-12","1.19","21.5","19.6","26.4","12.8"
"USW00014913","DULUTH INTERNATIONAL AIRPORT, MN US","1983-01","1.34","15.7","13.2","20.8","5.6"
